,Baseline-limited-ports Year,Baseline-limited-ports Cummulative Capacity,Baseline-South-CA Year,Baseline-South-CA Cummulative Capacity,Baseline-Central-CA Year,Baseline-Central-CA Cummulative Capacity,Expanded-all-ports Year,Expanded-all-ports Cummulative Capacity
0,2031,1412.3673790728117,2031.0,1261.2007949553729,2031.0,1261.2007949553729,2031.0,1261.2007949553729
1,2032,2493.9208823157096,2032.0,2303.97994827612,2032.0,2303.97994827612,2032.0,2303.97994827612
2,2033,3589.043400382644,2033.0,3877.129580115445,2033.0,3330.3849019130303,2033.0,3877.129580115445
3,2034,4705.3796585439995,2034.0,5951.391711198225,2034.0,4857.413202900392,2034.0,5951.391711198225
4,2035,5823.338272104739,2035.0,8777.533795488922,2035.0,6568.802777414718,2035.0,8219.785164392526
5,2036,6919.270530553631,2036.0,11484.894347258472,2036.0,8140.800640335532,2036.0,10339.33183722798
6,2037,8020.691285688998,2037.0,14391.9527696837,2037.0,9809.85716846605,2037.0,12541.527476793313
7,2038,9135.09837608551,2038.0,17159.83139494447,2038.0,12150.934969261887,2038.0,14862.770281652536
8,2039,10259.027497828121,2039.0,20521.216287198957,2039.0,15152.05684210736,2039.0,17847.92204896547
9,2040,11540.626734751126,2040.0,23557.446441024847,2040.0,18210.36633121701,2040.0,22027.36890560011
10,2041,12956.57592582045,2041.0,26580.2903810577,2041.0,21292.408585305428,2041.0,26802.802523411996
11,2042,14461.284346297876,2042.0,29504.63439752832,2042.0,24256.59573563163,2042.0,31630.08789562869
12,2043,16021.157709767262,2043.0,31002.29196404184,2043.0,25800.322704561953,2043.0,36419.54756991118
13,2044,17472.71876114719,2044.0,32516.74136567361,2044.0,27343.050744479944,2044.0,41175.834696434526
14,2045,18922.557937144775,2045.0,33756.668415715554,2045.0,29234.670027319095,2045.0,46164.17813389553
15,2046,20394.801614392472,2046.0,34992.338111715275,2046.0,31187.8654872615,2046.0,50780.17943609095
16,2047,21940.90263835314,,,2047.0,31946.105732156626,2047.0,52365.85042691828
17,2048,23377.374925121647,,,2048.0,32647.836825750936,2048.0,53397.20719993542
18,2049,24858.8193793178,,,2049.0,33362.24786253839,2049.0,54105.65189466924
19,2050,26381.425068826687,,,2050.0,34088.83939618906,2050.0,54808.92742453436
20,2051,27911.06742873331,,,2051.0,34811.43281365999,,
21,2052,29385.737811838982,,,,,,
22,2053,30893.48844706806,,,,,,
23,2054,32395.453171735277,,,,,,
24,2055,33833.48192733585,,,,,,
25,2056,34664.79709666777,,,,,,
