,example_wtiv,example_wtiv_us,example_heavy_lift_vessel,example_ahts_vessel,example_feeder
2023,73.37440109514031,0.0,45.8590006844627,0.0,36.68720054757016
2024,49.007529089664615,0.0,30.527036276522928,0.0,24.503764544832308
2025,0.0,0.0,0.0,0.0,0.0
2026,33.58430298882044,69.81519507186859,56.46817248459959,0.0,25.18822724161533
2027,30.937713894592743,51.47159479808351,41.82067077344285,0.0,23.203285420944557
2028,0.0,57.22108145106092,17.864476386036962,13.689253935660506,0.0
2029,56.7647729865389,0.0,54.96235455167693,0.0,42.573579739904176
2030,71.09285877253024,65.16084873374402,85.76317590691306,49.96577686516085,53.319644079397676
2031,69.54140999315537,55.304585900068446,92.1971252566735,49.96577686516085,52.15605749486652
2032,68.17248459958932,60.78028747433265,74.94866529774127,81.58795345653662,51.129363449691986
2033,14.328085785991329,69.26762491444217,35.728952772073924,99.9315537303217,10.746064339493499
2034,59.22883869495779,90.89664613278576,94.9349760438056,99.9315537303217,44.421629021218344
2035,83.41318731462468,64.06570841889116,90.82819986310746,99.9315537303217,62.559890485968516
2036,76.84234542550765,47.912388774811774,81.99863107460644,100.2053388090349,57.63175906913073
2037,54.026922199406805,0.0,44.421629021218344,99.9315537303217,40.5201916495551
2038,67.4423910563541,0.0,64.61327857631758,99.9315537303217,50.58179329226557
2039,51.106548026465894,79.94524298425736,74.94866529774127,99.9315537303217,38.32991101984942
2040,25.18822724161533,29.842573579739906,25.46201232032854,100.2053388090349,18.8911704312115
2041,0.0,0.0,0.0,99.9315537303217,0.0
2042,0.0,0.0,0.0,99.9315537303217,0.0
2043,0.0,0.0,0.0,99.9315537303217,0.0
2044,0.0,0.0,0.0,100.2053388090349,0.0
2045,0.0,0.0,0.0,99.9315537303217,0.0
2046,0.0,0.0,0.0,99.9315537303217,0.0
2047,0.0,0.0,0.0,99.9315537303217,0.0
2048,0.0,0.0,0.0,100.2053388090349,0.0
2049,0.0,0.0,0.0,99.9315537303217,0.0
2050,0.0,0.0,0.0,99.9315537303217,0.0
2051,0.0,0.0,0.0,99.9315537303217,0.0
2052,0.0,0.0,0.0,56.12594113620808,0.0
2053,0.0,0.0,0.0,0.0,0.0
2054,0.0,0.0,0.0,0.0,0.0
