,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Blades,186,177,0,0,0,450,405,249,486,402,570,1014,585,870,945,285,570,0,0
Nacelles,62,59,0,0,0,150,135,83,162,134,190,338,195,290,315,95,190,0,0
Towers,62,59,0,0,0,150,135,83,162,134,190,338,195,290,315,95,190,0,0
Monopile Foundations,62,59,0,0,0,54,0,0,41,0,0,0,0,0,0,0,0,0,0
Jacket Foundations,0,0,0,0,0,84,27,83,80,75,0,0,100,0,0,0,0,0,0
Gravity-based Foundations,0,0,0,0,0,0,108,0,82,59,0,143,0,100,0,0,0,0,0
Semisubmersible Platform,0,0,0,0,0,12,0,0,0,0,190,195,95,190,315,95,190,215,190
HVAC Cables (km),0,130,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0
HVDC Cables (km),220,0,0,0,0,280,390,130,300,200,300,700,400,550,650,150,300,400,300
